rms,centroid,rolloff,tempo,zcr,density,energy,loop_name,category,path,energy_norm
0.07079187780618668,10320.556609896355,17838.31163771609,198.76802884615384,0.3217539685837766,86.22328532057617,0.8714878711709868,SFX 2.wav,SFX,/content/drive/MyDrive/techno dataset/Berlin underground/SFX/SFX 2.wav,0.9999999866945014
0.04369262605905533,9810.677452837292,16450.679957613032,303.99816176470586,0.2840498254654255,86.16682949136336,0.8663901349396342,Ride 1.wav,Rides,/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 1.wav,0.993217194492475
0.056035950779914856,9278.244180853635,14468.938040226063,303.99816176470586,0.33583361037234044,86.16503845354397,0.8117263787808514,Ride 3.wav,Rides,/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 3.wav,0.9204843416769644
0.018095146864652634,8808.739749963986,15175.626474056604,287.109375,0.2687573702830189,86.37153098555115,0.7846330163506426,Clap 7.wav,Claps,/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 7.wav,0.8844352722315775
0.03376292809844017,9814.041271133796,16751.987591911766,120.18531976744185,0.2997153288398693,86.33007919955986,0.7766641306288496,Mid Tom 7.wav,Toms,/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Mid Tom 7.wav,0.8738322724921666
0.039767056703567505,9985.578478722357,15435.674534073794,129.19921875,0.45514283697289154,86.94712337878285,0.7636791156899913,Ride 5.wav,Rides,/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 5.wav,0.8565550627517332
0.006305765826255083,9536.743141917124,16010.623753324468,120.18531976744185,0.2910364029255319,86.16503845354397,0.7404553091026045,Percussion 6.wav,Percussion,/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 6.wav,0.8256546302708435
0.026822179555892944,8049.069963376583,13242.32177734375,303.99816176470586,0.2886555989583333,87.99955656560059,0.729414511878207,Closed Hat 1.wav,Hats,/content/drive/MyDrive/techno dataset/Berlin underground/Hats/Closed Hat 1.wav,0.81096429912793
0.175122931599617,8553.344615535729,12975.15922214674,139.6748310810811,0.298286769701087,87.09802069468894,0.7201401957059119,Ride 6.wav,Rides,/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 6.wav,0.7986243590922566
0.01821017451584339,9236.303652247896,14857.012939453125,132.51201923076923,0.3457438151041667,87.99467908214167,0.7170417251700805,Closed Hat 3.wav,Hats,/content/drive/MyDrive/techno dataset/Berlin underground/Hats/Closed Hat 3.wav,0.7945016895709524
0.06313527375459671,8193.227649292596,12913.278652759309,198.76802884615384,0.2953841838430851,86.17399438727783,0.690149733828574,Ride 2.wav,Rides,/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 2.wav,0.758720554398383
0.013307202607393265,8017.228607421783,13817.21503075133,215.33203125,0.24857671210106383,86.16862060364181,0.6899792700613008,Clap 11.wav,Claps,/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 11.wav,0.7584937438576026
0.05430256575345993,7188.5091082596,12215.91796875,303.99816176470586,0.21221301020408162,87.82718257193952,0.6876075581184719,Snare 1.wav,Snares,/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 1.wav,0.7553380628766342
0.04562851041555405,7293.154349918398,12563.936793550532,287.109375,0.21400224401595744,86.16503845354397,0.6865781156591722,Clap 1.wav,Claps,/content/drive/MyDrive/techno dataset/Berlin underground/Claps/Clap 1.wav,0.7539683383619705
0.03859744966030121,7183.183063556259,12360.05859375,271.9983552631579,0.20941551695478725,86.16682949136336,0.6680086942540592,Percussion 9.wav,Percussion,/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 9.wav,0.7292607974091655
0.017397847026586533,6621.240488559953,12704.13169049202,303.99816176470586,0.19266850897606383,86.16324749017896,0.6613373718238261,Kick 13.wav,Kick,/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 13.wav,0.7203842703188296
0.05457831919193268,7406.6492618481125,12684.573063380281,215.33203125,0.23020053917253522,86.77734050218946,0.660938151888683,Snare 2.wav,Snares,/content/drive/MyDrive/techno dataset/Berlin underground/Snares/Snare 2.wav,0.7198530882921236
0.08724916726350784,7953.591891025041,12588.619800324135,109.95678191489361,0.33660953602892285,86.16660560756405,0.6399101497827717,Drumloop_017_TOP_110.wav,drum loop,/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_017_TOP_110.wav,0.6918742831450543
0.026656851172447205,7714.0335923836265,13042.883890086207,139.6748310810811,0.22536705280172414,86.215265137726,0.6306340935256296,Low Tom 6.wav,Toms,/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Low Tom 6.wav,0.6795320278397405
0.028588028624653816,6473.376828863267,11233.917885638299,287.109375,0.19077252327127658,86.16503845354397,0.622419887745,Percussion 2.wav,Percussion,/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 2.wav,0.6686026175316847
0.11466428637504578,6230.351440937367,11412.38654641544,215.33203125,0.08755074295343138,86.41244837191432,0.6154176401384784,SFX 4.wav,SFX,/content/drive/MyDrive/techno dataset/Berlin underground/SFX/SFX 4.wav,0.659285777996115
0.0932665690779686,7304.527319847812,11854.114224048371,109.95678191489361,0.3205027478806516,86.16660560756405,0.6032870775638947,Drumloop_010_TOP_110.wav,drum loop,/content/drive/MyDrive/techno dataset/Berlin underground/drum loop/Drumloop_010_TOP_110.wav,0.6431454597248323
